"Enter your destination to get a shipping estimate.", "Enter your destination to get a shipping estimate."
"Please select region, state or province", "Please select region, state or province"
"Zip/Postal Code", "Zip/Postal Code"
"Update Total", "Update Total"
"Incl. Tax", "Incl. Tax"
"Estimate", "Estimate"
"You have no items in your shopping cart.", "You have no items in your shopping cart."
"Recently added item(s)", "Recently added item(s)"
"Cart Subtotal:", "Cart Subtotal:"
"View Cart", "View Cart"
"Chekout", "Chekout"
"Based on your selection, you may be interested in the following items:", "Based on your selection, you may be interested in the following items:"
"Discount Codes", "Discount Codes"
"Remove Item", "Remove Item"
"Move", "Move"
"Edit item parameters", "Edit item parameters"
"See price before order confirmation.", "See price before order confirmation."
"What's this?", "What's this?"
"What&#39;s this?", "What&#39;s this?"
"Total", "Total"
"Total incl. tax", "Total incl. tax"
"Excl. Tax", "Excl. Tax"
"Incl. Tax", "Incl. Tax"
"Update Cart", "Update Cart"
"Update", "Update"
"Only %s left", "Only %s left"
"Product Name", "Product Name"
"Quickview", "Quickview"
"There are no products matching the selection", "There are no products matching the selection"
"Brand Name", "Brand Name"
"WE RECOMMEND", "WE RECOMMEND"
"BASED ON YOUR SELECTION, YOU MAY BE INTERESTED IN THE FOLLOWING ITEMS:", "BASED ON YOUR SELECTION, YOU MAY BE INTERESTED IN THE FOLLOWING ITEMS:"
"View as", "View as"
"Sort By", "Sort By"
"Set Ascending Direction", "Set Ascending Direction"
"Set Descending Direction", "Set Descending Direction"
"No options of this product are available.", "No options of this product are available."
